,Method,Width
1811,FP2FM,0.6422823950660538
1812,FP2FM,0.7600166359997983
1813,FP2FM,0.7741827633000674
1814,FP2FM,0.817661813914622
1815,FP2FM,0.8093585777604869
1816,FP2FM,0.7799440679249506
1817,FP2FM,0.7955332296999713
1818,FP2FM,0.832249609980397
1819,FP2FM,0.8282481092893016
1820,FP2FM,0.8088682217646515
1821,FP2FM,0.8231323363778209
1822,FP2FM,0.8047498667889932
1823,FP2FM,0.7839604130608099
1824,FP2FM,0.8821242940976017
1825,FP2FM,0.8142601477992797
1826,FP2FM,0.8730427331676656
1827,FP2FM,0.8002331469655111
1828,FP2FM,0.8828447931838986
1829,FP2FM,0.8343276839618937
1830,FP2FM,0.8853747725007897
1831,FP2FM,0.8785328273936944
1832,FP2FM,0.7937313407915023
1833,FP2FM,0.7942501156036125
1834,FP2FM,0.9028906250000001
1835,FP2FM,0.8791177881144722
1836,FP2FM,0.89626527193354
1837,FP2FM,0.8202832711597455
1838,FP2FM,0.8267822369828792
1839,FP2FM,0.8809980359266694
1840,FP2FM,0.8322108007590964
1841,FP2FM,0.79353283053693
1842,FP2FM,0.8157549801933167
1843,FP2FM,0.7872655231933255
1844,FP2FM,0.7604635752503212
1845,FP2FM,0.8624459411519919
1846,FP2FM,0.9039307177292903
1847,FP2FM,0.7852905565115407
1848,FP2FM,0.8594315630352752
1849,FP2FM,0.9117609667982972
1850,FP2FM,0.8539273897878982
1851,FP2FM,0.8793385737595348
1852,FP2FM,0.9085676016433334
1853,FP2FM,0.8519939678291127
1854,FP2FM,0.8569344015851305
1855,FP2FM,0.8416148015467885
1856,FP2FM,0.8632540484624549
1857,FP2FM,0.8250717046406442
1858,FP2FM,0.8573797777779737
1859,FP2FM,0.8726646564862904
1860,FP2FM,0.8628926599040796
1861,FP2FM,0.8729364097010388
1862,FP2FM,0.8269175001500988
1863,FP2FM,0.9596015573836858
1864,FP2FM,0.9303965357239927
1865,FP2FM,0.8618344566030874
1866,FP2FM,0.8535311558403949
1867,FP2FM,0.8787894097731825
1868,FP2FM,0.8810838506651728
1869,FP2FM,0.8637466674196422
1870,FP2FM,0.9166977458184509
1871,FP2FM,0.8700544843942098
1872,FP2FM,0.8813716724831032
1873,FP2FM,0.8679471316465219
1874,FP2FM,0.8107566729161116
1875,FP2FM,0.8649399465385956
1876,FP2FM,0.9310913414252624
1877,FP2FM,0.8532132403100438
1878,FP2FM,0.9585776527470375
1879,FP2FM,0.8473515738127462
1880,FP2FM,0.870719452298542
1881,FP2FM,0.796488506330132
1882,FP2FM,0.8546819510350464
1883,FP2FM,0.8376240744776401
1884,FP2FM,0.8469199585384944
1885,FP2FM,0.869581555425984
