Method,area
FM2FM,4.604281169
FM2FM,4.329771181
FM2FM,4.824721008
FM2FM,4.575166473
FM2FM,3.314916072
FM2FM,3.876413776
FM2FM,4.296497243
FM2FM,7.133100456
FM2FM,4.674988287
FM2FM,4.113490584
FM2FM,3.664292421
FM2FM,3.111113202
FM2FM,5.926920204
FM2FM,6.767087138
FM2FM,6.563284268
FM2FM,7.690438918
FM2FM,4.737376921
FM2FM,5.377900227
FM2FM,3.631018483
FM2FM,1.742722502
FM2FM,4.134286795
FM2FM,4.125968311
FM2FM,4.01366877
FM2FM,5.348785532
FM2FM,3.918006198
FM2FM,5.639932489
FM2FM,5.831257632
FM2FM,4.949498276
FM2FM,5.569225371
FM2FM,4.774810101
FM2FM,4.21747164
FM2FM,3.161024109
SoftWorx,2.757577611
SoftWorx,3.210935016
SoftWorx,2.612004132
SoftWorx,3.061202295
SoftWorx,3.032087599
SoftWorx,3.289960619
SoftWorx,5.860372328
SoftWorx,4.059420435
SoftWorx,3.414737886
SoftWorx,6.571602753
SoftWorx,4.84551722
SoftWorx,2.433156715
SoftWorx,3.427215613
SoftWorx,3.289960619
SoftWorx,3.285801376
SoftWorx,3.539515154
SoftWorx,3.410578644
SoftWorx,3.05288381
SoftWorx,0.765300574
SoftWorx,3.14438714
SoftWorx,3.27332365
SoftWorx,3.427215613
SoftWorx,3.776591962
SoftWorx,3.373145464
SoftWorx,5.32798932
SoftWorx,4.200834671
SoftWorx,4.055261192
SoftWorx,7.262036966
SoftWorx,3.610222272
SoftWorx,3.901369229
SoftWorx,3.897209987
SoftWorx,4.467026175
SoftWorx,7.802738458
SoftWorx,3.468808035
SoftWorx,0.86928163
SoftWorx,3.992872559
SoftWorx,5.078434785
SoftWorx,2.973858208
SoftWorx,2.453952927
