,Method,Length
1619,FP2FM,8.988928457032715
1620,FP2FM,7.839339057169738
1621,FP2FM,4.776592629298406
1622,FP2FM,5.2677308266356615
1623,FP2FM,5.450181198510223
1624,FP2FM,10.487810360299312
1626,FP2FM,4.943768217418434
1627,FP2FM,8.906737615294512
1628,FP2FM,6.4114401012296085
1629,FP2FM,7.406672557968993
1631,FP2FM,4.871801547925154
1632,FP2FM,4.738098805704719
1634,FP2FM,6.5657478302719925
1635,FP2FM,8.095064227733195
1636,FP2FM,4.052418684241468
1637,FP2FM,6.649865902231408
1638,FP2FM,3.5484834931398552
1639,FP2FM,4.59730364206738
1640,FP2FM,4.056597219442613
1641,FP2FM,4.908699469526597
1642,FP2FM,3.79080381445103
1643,FP2FM,3.684831287999237
1644,FP2FM,4.693633035767351
1645,FP2FM,8.145323155672653
1646,FP2FM,4.308901660622985
1648,FP2FM,9.298690134490961
1649,FP2FM,5.04220575949096
1650,FP2FM,7.80047477969726
1651,FP2FM,7.248510333464204
1652,FP2FM,4.098500479151266
1653,FP2FM,8.057313927660966
1654,FP2FM,5.287410103360576
1655,FP2FM,4.820479190118377
1656,FP2FM,3.9578023939232527
1658,FP2FM,4.769324464747019
1659,FP2FM,6.286977641193971
1660,FP2FM,4.870895765780995
1661,FP2FM,9.264303866870636
1662,FP2FM,4.939256097105743
1663,FP2FM,7.757395774592171
1665,FP2FM,7.259005176025694
1666,FP2FM,7.819599452550623
1667,FP2FM,8.398570814053192
1668,FP2FM,3.0899546367411177
1669,FP2FM,3.280625492006608
1670,FP2FM,6.96794252016629
1671,FP2FM,6.655333168858076
1672,FP2FM,5.597444165364881
1673,FP2FM,9.011522176513104
1674,FP2FM,6.753183514427051
1675,FP2FM,5.8038843106503615
1676,FP2FM,7.697649733686839
1677,FP2FM,5.098516859508618
1678,FP2FM,5.361006166692305
1679,FP2FM,6.005005253342917
1680,FP2FM,6.247325574654092
1681,FP2FM,5.154306389247115
1682,FP2FM,3.856131026407004
1683,FP2FM,5.172016118627265
1684,FP2FM,7.541814046985814
1685,FP2FM,9.772927115045736
1686,FP2FM,3.7668729043551807
1687,FP2FM,5.885438107479041
1688,FP2FM,3.769500540098594
1689,FP2FM,7.669037722212531
1690,FP2FM,3.745130193648044
1691,FP2FM,1.2474454338730958
1692,FP2FM,2.2314895636027314
