Method,solidity
SoftWorx,0.939566705
SoftWorx,0.941666667
SoftWorx,0.93270366
SoftWorx,0.812022901
SoftWorx,0.947976879
SoftWorx,0.894031669
SoftWorx,0.893203883
SoftWorx,0.920828258
SoftWorx,0.820646507
SoftWorx,0.895652174
SoftWorx,0.89194499
SoftWorx,0.879609544
SoftWorx,0.944690265
SoftWorx,0.9360519
SoftWorx,0.906976744
SoftWorx,0.898148148
SoftWorx,0.919491525
SoftWorx,0.907156673
SoftWorx,0.931411531
SoftWorx,0.942932397
SoftWorx,0.9296333
SoftWorx,0.931843575
SoftWorx,0.920704846
SoftWorx,0.940254652
SoftWorx,0.915978995
SoftWorx,0.933420366
SoftWorx,0.947030498
SoftWorx,0.910660661
SoftWorx,0.938571429
SoftWorx,0.942513369
SoftWorx,0.849217639
SoftWorx,0.677451972
SoftWorx,0.920152091
SoftWorx,0.880473373
SoftWorx,0.810513447
SoftWorx,0.917322835
SoftWorx,0.901907357
SoftWorx,0.785370549
SoftWorx,0.82767624
SoftWorx,0.8575983
SoftWorx,0.8
SoftWorx,0.831824062
